expt_id,name,auth_id,phase,sio2,tio2,al2o3,feo,mgo,cao,na2o,k2o,zro2,zro2_err,h2o,total,T_C,P_GPa
1,none,2,Liquid,54.2,0.5,16.9,4.1,2.0,7.6,2.3,0.8,0.194781283,0.015804029,11.40521872,88.4,930,0.6
2,none,2,Liquid,56.2,0.6,16.8,3.1,1.6,5.9,3.3,1.4,0.180868334,0.016074184,10.91913167,88.9,930,0.6
3,none,2,Liquid,57.4,0.7,16.8,2.6,1.2,4.8,3.7,3,0.189783428,0.016344338,9.610216572,90.2,930,0.6
4,none,2,Liquid,58.8,0.6,17.1,3.6,1.4,2.6,1.5,3.3,0.049573322,0.006348627,11.05042668,88.9,930,0.6
5,none,2,Liquid,56.5,0.5,16.8,3.4,2.4,8.4,2.5,0.8,0.429275255,0.044845621,8.270724745,91.3,1020,0.6
6,none,2,Liquid,58.2,0.7,16.6,2.6,2.4,6.8,3.4,1.5,0.378351161,0.038496994,7.421648839,92.2,1020,0.6
7,none,2,Liquid,58.4,0.7,16.1,2.2,1.5,5.6,3.7,3,0.4662864,0.046196393,8.3337136,91.2,1020,0.6
8,none,2,Liquid,61.6,0.8,17.7,2.8,1.4,2.8,1.4,3.6,0.116706677,0.014453257,7.783293323,92.1,1020,0.6
9,none,2,Liquid,66.6,0.4,13.6,1.2,0.6,2.1,3.5,4,0.094689098,0.013102486,7.905310902,92,930,0.6
10,none,2,Liquid,63.8,0.4,14.2,1.6,0.8,3,3.5,3.6,0.115085751,0.017560032,8.984914249,90.9,930,0.6
11,none,2,Liquid,58.9,0.7,15.8,4.1,1.4,5.6,2.2,0.9,0.123865767,0.018775727,10.27613423,89.6,930,0.6
12,none,2,Liquid,59.4,0.7,16.5,3.2,1.5,4.7,3.4,1.8,0.134401787,0.008509862,8.665598213,91.2,930,0.6
13,none,2,Liquid,59.4,0.6,17.2,2.3,0.8,4.4,3.6,3.3,0.159796295,0.013237563,8.240203705,91.6,930,0.6
14,none,2,Liquid,64.2,0.6,17.8,3.7,1.6,1.8,1.6,3.8,0.040523152,0.010130788,4.859476848,95.1,930,0.6
15,none,2,Liquid,68.1,0.1,13,1.1,0.1,1.2,3.4,4.2,0.020936962,0.00189108,8.779063038,91.2,800,0.17
16,none,2,Liquid,68.1,0.2,13,1,0.1,1.2,3.6,4.5,0.03012221,0.007969553,8.26987779,91.7,800,0.17
17,none,2,Liquid,69.5,0.2,13.2,1.4,0.7,1.5,1.6,4.2,0.030527441,0.008780016,7.669472559,92.3,800,0.17
18,none,2,Liquid,66.6,0.2,13.7,1.4,0.0,0.8,4.6,5.2,0.101037725,0.00715909,7.398962275,92.5,860,0.12
19,none,2,Liquid,66.4,0.2,14.2,1.2,0.0,1.4,3.8,4.8,0.061054882,0.003917238,7.938945118,92,860,0.12
20,none,2,Liquid,68.5,0.4,13.3,1.9,0.8,1.6,1.7,4.2,0.024043737,0.003241852,7.575956263,92.4,860,0.12
21,none,2,Liquid,68.9,0.1,12.4,0.9,0.0,1,3.5,4.4,0.027825898,0.004052315,8.772174102,91.2,750,0.21
22,none,2,Liquid,69,0.1,12.6,1,0.0,1,3,4.6,0.035795451,0.006753859,8.664204549,91.3,750,0.21
23,ZSAT5A,2,Liquid,71.87952611,0.096687718,12.22735382,0.735548529,0.108890118,0.234561359,3.648989257,3.498443096,0.037416377,0.002026158,7.532583623,92.43,850,1
24,ZSAT7A,2,Liquid,71.66488003,0.101578596,12.13275049,0.77472196,0.112333201,0.228430012,4.094770418,3.45053529,0.089961397,0.004727701,7.350038603,92.56,925,1
25,ZSAT7B,2,Liquid,70.38468284,0.176095873,12.38673979,1.335537365,0.674328517,1.283361234,4.115713801,3.253540588,0.100227262,0.005403087,6.289772738,93.61,925,1
26,ZSAT7C,2,Liquid,68.34196629,0.375254705,13.15081522,1.905831035,0.899229513,2.037835838,4.160967988,3.028099416,0.11468052,0.007564322,5.98531948,93.9,925,1
27,ZSAT7D,2,Liquid,64.13580193,0.414625819,14.9958668,3.026974761,0.929577308,3.308559147,4.327468724,2.291125503,0.135077173,0.009320325,6.434922827,93.43,925,1
28,ZSAT7E,2,Liquid,65.29105,0.49555,15.6706,2.8985,0.8415,3.2351,3.3847,2.66475,0.101983265,0.007024013,5.416266735,94.48175,925,1
29,ZSAT9A,2,Liquid,68.31,0.8,15.17,0.77,0.13,0.25,4.91,4.58,0.130754703,0.0124271,5.639245297,94.23,930,2.4
30,ZSAT9B,2,Liquid,67.87,0.48,14.95,0.7,0.33,0.96,4.64,4.45,0.146423655,0.011076328,5.713576345,94.14,930,2.4
31,ZSAT9C,2,Liquid,68.12,0.29,14.63,0.68,0.34,1.08,4.62,4.02,0.113734979,0.009320325,6.016265021,93.87,930,2.4
32,ZSAT9D,2,Liquid,66.69,0.31936135,15.63,0.68,0.28,1.97,4.98,2.39,0.101172802,0.008239708,6.958827198,92.94,930,2.4
33,ZSAT9E,2,Liquid,68.01,0.284924475,15.33,0.73,0.19,1.33,3.77,4.76,0.126027002,0.010265865,5.463972998,94.41,930,2.4
34,ZSAT10A,2,Liquid,70.4,0.10035498,13.93,0.92,0.15,0.28,5.03,4.33,0.188567733,0.015128643,4.661432267,95.15,1000,2.5
35,ZSAT10B,2,Liquid,69.32,0.21182488,14.59,0.29,0.93,0.95,4.9,4.29,0.143181803,0.011346483,4.376818197,95.48,1000,2.5
36,ZSAT10C,2,Liquid,69.13,0.441061525,14.7,0.92,0.43,1.42,4.7,3.66,0.180057871,0.014048026,4.409942129,95.41,1000,2.5
37,ZSAT10D,2,Liquid,65.93,0.52884035,15.76,1.14,0.44,2.53,5.08,2.13,0.1834348,0.015668952,6.2865652,93.53,1000,2.5
38,ZSAT10E,2,Liquid,68.09,0.42994785,14.79,0.92,0.23,1.69,3.68,4.52,0.313108886,0.030932673,5.326891114,94.36,1000,2.5
39,ZSAT11B,2,Liquid,71.02,0.24,13.62,0.36,0.99,1.67,4.29,3.22,0.134536864,0.005132933,4.455463136,95.41,1020,1
40,ZSAT11C,2,Liquid,66.72,0.50429104,13.37,1.11,1.9136756,2.82,3.98,2.66,0.228550576,0.00526801,6.701449424,93.07,1020,1
41,ZSAT11D,2,Liquid,57.04,0.76,16.03,2.36,2.58,5.12,3.68,1.57,0.32202398,0.009050171,10.52797602,89.15,1020,1
42,ZSAT12B,2,Liquid,62,0.1,15.6,7.1,2.4,4.9,3.1,2.7,0.5,0,0,98.6,1175,1
43,ZSAT12D,2,Liquid,54,1.8,16.2,8.8,4.1,6.5,4,1.9,1,0,0,98.2,1175,1
44,ZSAT13A,2,Liquid,47.1,1.5,15.3,8.9,8.1,10.1,2.8,0.2,4.8,0,0,98.9,1225,1
45,ZSAT13B,2,Liquid,58.8,0.1,17.5,5.7,2.7,5.9,3.8,1.9,3,0,0,99.4,1225,1
46,ZSAT13C,2,Liquid,52.4,1,18.4,5.2,4.2,9.6,3.6,0.5,4.5,0,0,99.4,1225,1
47,ZSAT13D,2,Liquid,53.5,1.1,17.2,6.7,5.1,6.5,3.8,1.2,4.4,0,0,99.5,1225,1