expt_id,name,auth_id,phase,sio2,sio2_err,tio2,tio2_err,al2o3,al2o3_err,feo,feo_err,mgo,mgo_err,cao,cao_err,na2o,na2o_err,k2o,k2o_err,total,zro2,zro2_err,h2o,T_C,P_GPa
1,1,1,Liquid,54.2,0.3,0.5,0.1,16.9,0.2,4.1,0.2,2,0.1,7.6,0.1,2.3,,0.8,0.1,88.54629893,0.178301868,0.027015435,11.45370107,930,0.6
2,2,1,Liquid,56.2,0.4,0.6,0.1,16.8,0.1,3.1,,1.6,0.2,5.9,0.2,3.3,,1.4,0.1,89.04700043,0.181003411,0.027015435,10.95299957,930,0.6
3,3,1,Liquid,57.4,0.4,0.7,0.1,16.8,0.2,2.6,0.2,1.2,0.1,4.8,0.1,3.7,,3,0.1,90.34419444,0.170197238,0.027015435,9.655805564,930,0.6
4,4,1,Liquid,58.8,0.4,0.6,0.2,17.1,0.3,3.6,0.2,1.4,0.2,2.6,0.1,1.5,,3.3,0.1,89.02104497,0.081046304,0.020261576,10.97895503,930,0.6
5,5,1,Liquid,56.5,0.3,0.5,0.1,16.8,0.3,3.4,0.1,2.4,0.2,8.4,0.1,2.5,0.2,0.8,0.1,91.71048609,0.425493094,0.033769293,8.28951391,1020,0.6
6,6,1,Liquid,58.2,0.4,0.7,0.1,16.6,0.2,2.6,0.2,2.4,0.2,6.8,0.2,3.4,,1.5,0.1,92.59750836,0.37551454,0.033769293,7.402491641,1020,0.6
7,7,1,Liquid,58.4,0.6,0.7,0.1,16.1,0.2,2.2,0.1,1.5,0.1,5.6,0.2,3.7,,3,0.1,91.61995633,0.461963931,0.033769293,8.380043674,1020,0.6
8,8,1,Liquid,61.6,0.4,0.8,0.1,17.7,0.3,2.8,0.2,1.4,0.1,2.8,0.2,1.4,0.1,3.6,0.2,92.2375302,0.144532575,0.027015435,7.762469804,1020,0.6
9,9,1,Liquid,66.6,0.4,0.4,0.1,13.6,0.2,1.2,0.1,0.6,0.1,2.1,0.1,3.5,,4,0.1,92.13297045,0.126972542,0.022963119,7.867029548,930,0.6
10,10,1,Liquid,63.8,0.5,0.4,0.1,14.2,0.1,1.6,0.1,0.8,0.1,3,0.1,3.5,,3.6,0.1,91.44138844,0.159391064,0.022963119,8.55861156,930,0.6
11,11,1,Liquid,58.9,0.5,0.7,0.1,15.8,0.2,4.1,0.2,1.4,0.1,5.6,0.2,2.2,0.2,0.9,0.1,89.73051521,0.11751714,0.022963119,10.26948479,930,0.6
12,12,1,Liquid,59.4,0.4,0.7,0.1,16.5,0.3,3.2,0.3,1.5,0.4,4.7,0.5,3.4,,1.8,0.1,91.33437345,0.132375629,0.022963119,8.66562655,930,0.6
13,13,1,Liquid,59.4,0.3,0.6,0.1,17.2,0.1,2.3,0.2,0.8,0.1,4.4,0.2,3.6,0.1,3.3,0.1,91.73086596,0.118867912,0.022963119,8.269134045,930,0.6
14,14,1,Liquid,64.2,1,0.6,0.2,17.8,0.3,3.7,0.5,1.6,0.1,1.8,0.1,1.6,0.2,3.8,0.1,95.11613448,0.062135499,0.021612348,4.883865523,930,0.6
15,15,1,Liquid,68.1,0.5,0.1,0.1,13,0.2,1.1,0.2,0.1,0.1,1.2,0.1,3.4,,4.2,0.1,91.21052248,0.040523152,0.018910804,8.789477515,800,0.17
16,16,1,Liquid,68.1,0.3,0.2,0.1,13,0.3,1,0.1,0.1,0.1,1.2,0.1,3.6,,4.5,0.1,91.70947024,0.036470837,0.017560032,8.290529764,800,0.17
17,19,1,Liquid,67.8,0.2,0.2,0.1,13,0.1,0.8,0.3,0.2,0.1,1.3,0.1,3.8,,4.8,0.2,91.91367923,0.052680097,0.018910804,8.08632077,800,0.17
18,20,1,Liquid,69.5,0.1,0.2,0.2,13.2,0.1,1.4,0.1,0.7,0.1,1.5,0.1,1.6,,4.2,0.1,92.30631349,0.024313891,0.018910804,7.693686509,800,0.17
19,21,1,Liquid,66.6,0.3,0.2,0.1,13.7,0.2,1.4,0.1,0,0,0.8,0.1,4.6,,5.2,0.1,92.63016446,0.116166368,0.022963119,7.369835544,860,0.12
20,22,1,Liquid,66.4,0.5,0.2,0.1,14.2,0.2,1.2,0.2,0,0,1.4,0.1,3.8,0.2,4.8,0.2,92.01402998,0.054030869,0.018910804,7.98597002,860,0.12
21,23,1,Liquid,66.9,0.7,0.4,0.1,13.8,0.2,1.4,0.2,0.2,0.1,1.4,0.1,3.5,,4.9,0.1,92.51438073,0.055381641,0.018910804,7.485619271,860,0.12
22,24,1,Liquid,68.5,1.5,0.4,0.3,13.3,1.4,1.9,0.6,0.8,0.1,1.6,0.6,1.7,0.2,4.2,0.2,92.41122398,0.043224695,0.021612348,7.588776016,860,0.12
23,26,1,Liquid,69,0.6,0.1,0.1,12.6,0.1,1,0.1,0,0,1,0.1,3,,4.6,0.1,91.30631349,0.024313891,0.018910804,8.693686509,750,0.21
24,41,1,Liquid,67.4,0.3,0.5,0.1,15.2,0.2,2.3,0.1,0.7,0.1,1.6,0.1,2.4,,4,,94.24314219,0.166144922,0.025664663,5.756857813,1020,0.6
25,42,1,Liquid,67,0.4,0.4,0.1,14.7,0.2,2,0.2,0.8,0.1,3.1,0.1,3.6,,3.9,,95.66313491,0.243138911,0.024313891,4.336865092,1020,0.6
26,43,1,Liquid,61.4,0.2,0.7,0.1,17.7,0.1,3.4,0.1,1.9,0.1,4.9,0.1,2.6,,2.4,0.1,95.25015718,0.193160357,0.022963119,4.749842823,1020,0.6
27,44,1,Liquid,57.9,0.5,0.7,0.1,16.3,0.3,2.4,0.1,1.6,0.1,5.4,0.1,3.7,,3,,91.41259059,0.433597724,0.027015435,8.587409413,1020,0.6
28,45,1,Liquid,60.3,0.2,0.7,0.1,17.3,0.2,3.1,0.2,1.5,0.1,2.7,0.1,1.5,,3.4,,90.54770193,0.183704955,0.021612348,9.452298069,1020,0.6